IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_BEST99_LOW,Z_BEST99_HIGH,Z_MED,Z_MODE,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,PDZ_BEST,SCALE_BEST,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,ERR_MAG_OBS0,ERR_MAG_OBS1,ERR_MAG_OBS2,ERR_MAG_OBS3,ERR_MAG_OBS4,ERR_MAG_OBS5,MAG_ABS0,MAG_ABS1,MAG_ABS2,MAG_ABS3,MAG_ABS4,MAG_ABS5,EMAG_ABS0,EMAG_ABS1,EMAG_ABS2,EMAG_ABS3,EMAG_ABS4,EMAG_ABS5,ZSPEC,PDZ_FLAG
4476.0,2.0,0.01,2.0,0.01,2.0,0.6729,0.0148,0.206932,38,0,0.0,99.0,0.671612,27.445,26.986,26.526,26.425,25.979,25.566,1.114,0.218,0.112,0.17,0.282,0.719,-19.69478,-20.60308,-21.13776,-21.381,-21.59098,-21.80674,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26043,26
4527.0,2.0,0.2456,2.0,0.01,2.0,0.4869,0.0147,0.566184,38,0,0.0,99.0,0.922671,26.888,26.628,26.17,26.099,25.644,25.504,0.777,0.169,0.092,0.146,0.238,0.653,-20.0396,-20.9479,-21.48258,-21.72582,-21.9358,-22.15156,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26206,26
7101.0,2.0,0.01,2.0,0.01,2.0,0.5215,0.0149,0.622483,56,0,0.0,99.0,0.440236,27.426,26.94,26.41,26.324,25.743,25.754,1.181,0.243,0.114,0.176,0.287,0.726,-19.73834,-20.49249,-20.87034,-20.96897,-21.08525,-21.21187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.31642,26
7228.0,2.0,0.01,2.0,0.01,2.0,0.5715,0.3573,1.29562,41,0,0.0,99.0,0.512654,27.47,27.98,26.926,26.839,25.998,26.185,1.653,0.404,0.177,0.261,0.395,0.951,-19.74745,-20.63265,-21.05097,-21.13349,-21.25042,-21.37902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.34822,26
7864.0,2.0,0.01,2.0,0.01,2.0,0.8607,0.0149,0.0824691,38,0,0.0,99.0,0.503577,98.957,27.27,26.845,26.717,26.364,25.867,1.559,0.367,0.167,0.256,0.408,0.993,-19.38215,-20.29045,-20.82513,-21.06836,-21.27835,-21.49411,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.34681,30
7952.0,2.0,0.01,2.0,0.01,2.0,0.9555,0.0845,0.170265,80,0,0.0,99.0,0.224407,28.089,27.213,26.799,26.487,26.119,99.026,1.131,0.269,0.135,0.219,0.351,0.91,-19.27699,-19.86465,-20.14042,-20.25699,-20.32207,-20.37708,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33714,30
9098.0,2.0,0.01,2.0,0.01,2.0,1.1011,0.0148,0.741386,85,0,0.0,99.0,0.171497,27.506,26.759,26.589,26.499,26.046,26.179,0.872,0.235,0.126,0.214,0.331,0.896,-19.10817,-19.63746,-19.89077,-19.96997,-20.03157,-20.09372,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.36161,30
9668.0,2.0,0.01,2.0,0.01,2.0,1.0288,0.121,0.00404371,75,0,0.0,99.0,0.201161,28.221,27.58,27.05,26.677,26.252,99.026,1.645,0.391,0.175,0.267,0.434,1.046,-19.13403,-19.74363,-20.02666,-20.13839,-20.20341,-20.2583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.36762,30
9699.0,2.0,0.01,2.0,0.01,2.0,1.0571,2.0,0.0551517,39,0,0.0,99.0,0.635208,27.579,27.077,26.631,26.454,26.004,25.529,1.218,0.263,0.116,0.179,0.297,0.762,-19.67397,-20.5782,-21.09724,-21.32593,-21.52351,-21.72752,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.37242,30
9840.0,2.0,1.8715,2.0,0.01,2.0,1.0316,2.0,1.12841,41,0,0.0,99.0,0.798625,28.153,27.532,26.478,26.34,25.549,25.38,2.253,0.378,0.11,0.15,0.228,0.597,-20.22875,-21.11395,-21.53227,-21.61479,-21.73171,-21.86032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38508,16
