# Creation date: Tue May 20 10:36:29 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/Y6A1_FGCM_V3_3_1_PSF_ALL_STARS.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/DES_100.out
# CAT_LINES              : 0 100
# PARA_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : DES_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.000000 
# GLB_CONTEXT            : -1
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 3
# NZ_PRIOR               : -1 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 11 
# AUTO_ADAPT             : NO
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/WORK_COMPLETE2/zphota/spec_out
# CHI_OUT                : NO
# PDZ_OUT                : NONE
####################################### 
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 NBAND_USED 15 MAG_OBS()16-20 ERR_MAG_OBS()21-25 MAG_ABS()26-30 EMAG_ABS()31-35 ZSPEC 36
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  NBAND_USED  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  ZSPEC 
           9519                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01    0.00000e+00     5     18.187     16.981     16.570     16.318     16.248      0.087      0.015      0.015      0.009      0.005   1015.98069   1015.98069   1015.98069   1015.98069   1015.98069   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9520                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01    1.00000e+09     5     17.384     16.942     16.795     16.685     16.686      0.037      0.014      0.014      0.012      0.007   1015.94188   1015.94188   1015.94188   1015.94188   1015.94188   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9521                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01    0.00000e+00     5     18.175     17.643     17.444     17.358     17.316      0.086      0.031      0.031      0.022      0.011   1016.64289   1016.64289   1016.64289   1016.64289   1016.64289   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9523                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.071     16.445     16.249     16.150     16.119      0.027      0.011      0.011      0.010      0.005   1015.44532   1015.44532   1015.44532   1015.44532   1015.44532   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9524                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     15.313     14.618     14.400     14.284     14.260      0.006      0.002      0.002      0.002      0.001   1013.61754   1013.61754   1013.61754   1013.61754   1013.61754   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9528                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     15.570     15.059     14.887     14.787     14.775      0.010      0.006      0.006      0.003      0.003   1014.05899   1014.05899   1014.05899   1014.05899   1014.05899   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9529                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     15.162     14.656     14.514     14.451     14.452      0.005      0.002      0.002      0.002      0.002   1013.65629   1013.65629   1013.65629   1013.65629   1013.65629   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9530                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.012     16.432     16.203     16.068     16.061      0.030      0.011      0.011      0.008      0.005   1015.43233   1015.43233   1015.43233   1015.43233   1015.43233   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9533                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.379     16.826     16.646     16.531     16.521      0.037      0.013      0.013      0.012      0.007   1015.82592   1015.82592   1015.82592   1015.82592   1015.82592   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9534                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.423     17.896     17.717     17.591     17.591      0.135      0.033      0.033      0.038      0.016   1016.89615   1016.89615   1016.89615   1016.89615   1016.89615   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
