# Creation date: Thu Apr 17 14:27:14 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/lephare/simulation_catalogs/buzzard_base/Shuffle_Buzzard_training_file.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_CAT_100.out
# CAT_LINES              : 1 100
# PARA_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : buzzard_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.500000 
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 2
# NZ_PRIOR               : -2 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 10 
# AUTO_ADAPT             : YES
# ADAPT_BAND             : 4
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/spec_100/
# CHI_OUT                : NO
# PDZ_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_PDZ_100
####################################### 
# Offsets from auto-adapt: 0.042989585745065284,-0.0006165267043378719,-0.0021406715295242407,0.0035866669364388315,0.006062724835594224,-0.026013763042950444
# Offsets from auto-adapt: 0.042990,-0.000617,-0.002141,0.003587,0.006063,-0.026014,
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 MAG_OBS()15-20 ERR_MAG_OBS()21-26 MAG_ABS()27-32 EMAG_ABS()33-38 ZSPEC 39
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  MAG_OBS5  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  ERR_MAG_OBS5  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  EMAG_ABS5  ZSPEC  PDZ_FLAG
112458          0.5093          0.0522          0.6340          0.0100          1.0493          0.3301          0.2213          1.53718e-01          84          0          0.000          9.90000e+01          5.67571e-03          26.801          26.886          26.188          25.862          25.816          25.486          0.903          0.201          0.094          0.119          0.211          0.524          -15.37981          -15.93255          -16.21474          -16.25492          -16.36209          -16.49991          0.69547          0.18891          -1.00000          -1.00000          -1.00000          -1.00000          0.59524          11
310251          1.09          1.0437          1.2094          0.9419          1.2923          1.1757          1.1547          8.10736e-01          60          0          0.000          9.90000e+01          1.62415e-01          26.046          25.997          25.490          24.978          24.239          24.020          0.375          0.096          0.052          0.056          0.062          0.141          -18.73721          -19.50648          -19.86422          -19.92540          -20.03287          -20.15607          0.20763          0.04359          0.91266          1.53960          1.87216          2.10389          1.03650          13
377929          0.6961          0.6900          0.7012          0.6850          0.7083          0.6963          0.6979          1.41273e+01          19          0          0.000          9.90000e+01          2.24105e+00          23.794          23.333          22.351          21.307          20.851          20.558          0.043          0.011          0.008          0.008          0.008          0.010          -20.27980          -21.47906          -22.21351          -22.62474          -22.91836          -23.20182          0.08277          0.22895          0.13095          0.72747          1.08375          1.33838          0.75252          0
178247          0.3792          0.3514          0.3996          0.0100          0.5789          1.7433          0.3812          1.30026e+00          96          0          0.000          9.90000e+01          4.52529e-03          25.350          25.388          25.110          25.131          24.991          25.314          0.174          0.052          0.036          0.066          0.125          0.399          -15.88237          -16.08259          -16.15744          -16.04981          -16.10596          -16.24500          0.35859          0.23570          0.02652          -1.00000          -1.00000          -1.00000          0.40384          5
77363          1.547          1.4539          1.6492          0.7524          1.7862          1.2370          1.5320          4.81029e-01          7          0          0.000          9.90000e+01          1.71795e+00          29.314          28.050          27.056          25.671          24.792          24.257          2.770          0.570          0.241          0.115          0.099          0.167          -19.84553          -21.23350          -21.94795          -22.29847          -22.52261          -22.74345          0.13354          1.31625          2.19390          2.82085          3.15341          3.38514          1.57412          13
272457          0.07029          0.0100          0.7410          0.0100          2.0000          0.6631          0.0526          4.26092e-01          79          0          0.000          9.90000e+01          4.07289e-05          27.709          27.000          26.767          26.520          26.475          25.702          0.985          0.303          0.161          0.240          0.434          0.783          -9.91113          -10.49954          -10.80246          -10.89258          -10.99594          -11.11649          -1.00000          -1.00000          0.13376          -1.00000          -1.00000          -1.00000          0.50830          30
20335          0.4927          0.4535          0.5041          0.4352          0.6080          0.5075          0.4926          5.65661e+00          26          0          0.000          9.90000e+01          7.97549e-02          26.126          25.471          24.200          23.509          23.230          23.003          0.445          0.056          0.017          0.017          0.024          0.053          -16.95644          -18.10631          -18.67515          -18.99976          -19.23213          -19.46315          0.73927          0.21383          0.06841          0.63674          0.92939          1.17049          0.52806          12
48782          0.8963          0.8235          0.9519          0.4329          1.0320          0.8388          0.9034          6.13210e-01          54          0          0.000          9.90000e+01          8.39331e-02          27.261          26.555          25.688          24.955          24.538          24.457          0.658          0.135          0.062          0.056          0.084          0.224          -17.85556          -18.60038          -18.92759          -19.09273          -19.20873          -19.32359          0.41788          0.08588          0.65077          1.28548          1.61350          1.86030          0.86996          4
197242          0.6548          0.6418          0.6710          0.6094          0.7016          0.6571          0.6571          4.83990e-01          59          0          0.000          9.90000e+01          1.12863e-01          25.409          24.930          24.107          23.458          23.300          23.169          0.175          0.036          0.016          0.017          0.026          0.064          -18.27450          -19.00398          -19.35077          -19.47527          -19.58483          -19.69912          0.09273          0.15773          0.08886          0.66312          1.01945          1.27407          0.63662          0
225202          1.029          1.0207          1.0362          0.9981          1.0681          1.0295          1.0292          4.46491e+00          16          0          0.000          9.90000e+01          1.71582e+00          25.639          25.381          24.160          23.182          22.297          21.856          0.229          0.050          0.017          0.014          0.013          0.021          -20.25127          -21.47298          -22.10913          -22.40505          -22.60552          -22.80633          0.03064          0.07727          0.80378          1.43235          1.76329          1.99874          1.01108          0
