# Creation date: Thu Apr 17 19:05:09 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/lephare/simulation_catalogs/buzzard_base/Shuffle_Buzzard_training_file.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_CAT_5000.out
# CAT_LINES              : 1 5000
# PARA_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : buzzard_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.500000 
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 3
# NZ_PRIOR               : -1 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 11 
# AUTO_ADAPT             : YES
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : save_spec
# CHI_OUT                : NO
# PDZ_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_PDZ_5000
####################################### 
# Offsets from auto-adapt: 0.046692,-0.000184,-0.002211,0.003683,0.006042,-0.026768,
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 MAG_OBS()15-20 ERR_MAG_OBS()21-26 MAG_ABS()27-32 EMAG_ABS()33-38 ZSPEC 39
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  MAG_OBS5  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  ERR_MAG_OBS5  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  EMAG_ABS5  ZSPEC  PDZ_FLAG
112458          0.5091          0.0551          0.6342          0.0100          1.0497          0.3302          0.2213          1.54513e-01          84          1          0.000          9.90000e+01          5.67113e-03          26.797          26.885          26.188          25.862          25.816          25.487          0.903          0.201          0.094          0.119          0.211          0.524          -15.37865          -15.93178          -16.21387          -16.25405          -16.36122          -16.49904          0.69547          0.18891          -1.00000          -1.00000          -1.00000          -1.00000          0.59524          9
310251          1.091          1.0437          1.2085          0.9415          1.2920          1.1755          1.1542          8.09799e-01          60          1          0.000          9.90000e+01          1.62428e-01          26.043          25.996          25.490          24.978          24.239          24.021          0.375          0.096          0.052          0.056          0.062          0.141          -18.73739          -19.50578          -19.86352          -19.92470          -20.03217          -20.15537          0.20763          0.04359          0.91266          1.53960          1.87216          2.10389          1.03650          13
377929          0.6962          0.6907          0.7013          0.6851          0.7083          0.6964          0.6980          1.39480e+01          19          1          0.000          9.90000e+01          2.24168e+00          23.790          23.333          22.351          21.307          20.851          20.559          0.043          0.011          0.008          0.008          0.008          0.010          -20.28032          -21.47944          -22.21318          -22.62441          -22.91803          -23.20149          0.08277          0.22895          0.13095          0.72747          1.08375          1.33838          0.75252          0
178247          0.3792          0.3515          0.3997          0.0100          0.5795          1.7441          0.3812          1.30131e+00          96          1          0.000          9.90000e+01          4.52774e-03          25.347          25.387          25.110          25.131          24.991          25.315          0.174          0.052          0.036          0.066          0.125          0.399          -15.88321          -16.08295          -16.15793          -16.05040          -16.10654          -16.24559          0.35859          0.23570          0.02652          -1.00000          -1.00000          -1.00000          0.40384          1
77363          1.547          1.4540          1.6492          0.7521          1.7861          1.2367          1.5320          4.84513e-01          7          1          0.000          9.90000e+01          1.71799e+00          29.310          28.050          27.056          25.671          24.792          24.257          2.770          0.570          0.241          0.115          0.099          0.167          -19.84506          -21.23303          -21.94748          -22.29800          -22.52214          -22.74298          0.13354          1.31625          2.19390          2.82085          3.15341          3.38514          1.57412          1
272457          0.0703          0.0100          0.7419          0.0100          2.0000          0.6660          0.0526          4.25650e-01          79          1          0.000          9.90000e+01          4.07424e-05          27.706          26.999          26.767          26.520          26.475          25.702          0.985          0.303          0.161          0.240          0.434          0.783          -9.91149          -10.49989          -10.80266          -10.89294          -10.99630          -11.11685          -1.00000          -1.00000          0.13376          -1.00000          -1.00000          -1.00000          0.50830          11
20335          0.4927          0.4535          0.5041          0.4352          0.6083          0.5085          0.4926          5.73133e+00          26          1          0.000          9.90000e+01          7.97626e-02          26.122          25.470          24.200          23.509          23.230          23.004          0.445          0.056          0.017          0.017          0.024          0.053          -16.95654          -18.10653          -18.67452          -18.99914          -19.23151          -19.46252          0.73927          0.21383          0.06841          0.63674          0.92939          1.17049          0.52806          8
48782          0.8961          0.8232          0.9518          0.4334          1.0319          0.8389          0.9032          6.07678e-01          54          1          0.000          9.90000e+01          8.38829e-02          27.257          26.554          25.688          24.954          24.538          24.458          0.658          0.135          0.062          0.056          0.084          0.224          -17.85457          -18.59957          -18.92617          -19.09131          -19.20731          -19.32217          0.41788          0.08588          0.65077          1.28548          1.61350          1.86030          0.86996          4
197242          0.6548          0.6419          0.6711          0.6098          0.7018          0.6573          0.6573          5.06777e-01          59          1          0.000          9.90000e+01          1.12862e-01          25.405          24.930          24.107          23.458          23.300          23.170          0.175          0.036          0.016          0.017          0.026          0.064          -18.27437          -19.00403          -19.34997          -19.47447          -19.58403          -19.69832          0.09273          0.15773          0.08886          0.66312          1.01945          1.27407          0.63662          0
225202          1.029          1.0203          1.0360          0.9975          1.0674          1.0291          1.0290          4.50828e+00          16          1          0.000          9.90000e+01          1.71494e+00          25.635          25.380          24.160          23.182          22.297          21.856          0.229          0.050          0.017          0.014          0.013          0.021          -20.25038          -21.47162          -22.10777          -22.40369          -22.60416          -22.80497          0.03064          0.07727          0.80378          1.43235          1.76329          1.99874          1.01108          0
